order_id,invoice_date,expected_amount,customer_name,customer_reference,expected_settlement_date,tax_amount,currency,status
ORD3027,2026-08-03,109500000,Everest Textiles,REF3027,2026-08-05,19710000,INR,settled
ORD3028,2026-08-04,113000000,Acme Corp,REF3028,2026-08-06,20340000,INR,settled
ORD3029,2026-08-05,116500000,Vortex Dynamics,REF3029,2026-08-07,20970000,INR,settled
ORD3030,2026-08-06,120000000,Pioneer Auto,REF3030,2026-08-08,21600000,INR,settled
ORD3031,2026-08-07,123500000,Raga Exports,REF3031,2026-08-09,22230000,INR,settled
ORD3032,2026-08-08,127000000,Global Tech,REF3032,2026-08-10,22860000,INR,settled
ORD3033,2026-08-09,130500000,Delta Systems,REF3033,2026-08-11,23490000,INR,settled
ORD3034,2026-08-10,134000000,Omni Global,REF3034,2026-08-12,24120000,INR,settled
ORD3035,2026-08-11,137500000,Meridian Steel,REF3035,2026-08-13,24750000,INR,settled
ORD3036,2026-08-12,112000000,Everest Textiles,REF3036,2026-08-14,20160000,INR,settled
ORD3037,2026-08-13,114000000,Acme Corp,REF3037,2026-08-15,20520000,INR,settled
ORD3038,2026-08-14,116000000,Vortex Dynamics,REF3038,2026-08-16,20880000,INR,settled
ORD3039,2026-08-15,118000000,Pioneer Auto,REF3039,2026-08-17,21240000,INR,settled
ORD3040,2026-08-16,120000000,Raga Exports,REF3040,2026-08-18,21600000,INR,settled
ORD3041,2026-08-17,122000000,Global Tech,REF3041,2026-08-19,21960000,INR,settled
ORD3042,2026-08-18,124000000,Delta Systems,REF3042,2026-08-20,22320000,INR,settled
ORD3043,2026-08-19,126000000,Omni Global,REF3043,2026-08-21,22680000,INR,settled
ORD3044,2026-08-20,128000000,Meridian Steel,REF3044,2026-08-22,23040000,INR,settled
ORD3045,2026-08-21,130000000,Everest Textiles,REF3045,2026-08-23,23400000,INR,settled
ORD3046,2026-08-22,132000000,Acme Corp,REF3046,2026-08-24,23760000,INR,settled
ORD3047,2026-08-23,134000000,Vortex Dynamics,REF3047,2026-08-25,24120000,INR,settled
ORD3048,2026-08-01,120000000,Pioneer Auto,REF3048,2026-08-05,21600000,INR,settled
ORD3049,2026-08-01,120000000,Raga Exports,REF3049,2026-08-05,21600000,INR,settled
ORD3050,2026-08-01,120000000,Global Tech,REF3050,2026-08-05,21600000,INR,settled
ORD3051,2026-08-01,120000000,Delta Systems,REF3051,2026-08-05,21600000,INR,settled
ORD3052,2026-08-01,120000000,Omni Global,REF3052,2026-08-05,21600000,INR,settled
ORD3053,2026-08-01,120000000,Meridian Steel,REF3053,2026-08-05,21600000,INR,settled
ORD3066,2026-07-01,354000000,Vortex Dynamics,REF3066,2026-07-10,63720000,INR,unsettled
ORD3067,2026-07-01,358000000,Omni Global,REF3067,2026-07-10,64440000,INR,unsettled
ORD3068,2026-07-01,362000000,Delta Systems,REF3068,2026-07-10,65160000,INR,unsettled
ORD3069,2026-07-01,366000000,Pioneer Auto,REF3069,2026-07-10,65880000,INR,unsettled
ORD3070,2026-07-01,370000000,Vortex Dynamics,REF3070,2026-07-10,66600000,INR,unsettled
ORD3071,2026-07-01,374000000,Omni Global,REF3071,2026-07-10,67320000,INR,unsettled
ORD3072,2026-07-01,378000000,Delta Systems,REF3072,2026-07-10,68040000,INR,unsettled
ORD3073,2026-07-01,382000000,Pioneer Auto,REF3073,2026-07-10,68760000,INR,unsettled
ORD3074,2026-07-01,386000000,Vortex Dynamics,REF3074,2026-07-10,69480000,INR,unsettled
ORD3075,2026-07-01,390000000,Omni Global,REF3075,2026-07-10,70200000,INR,unsettled
