settlement_id,date,amount,utr_reference,payer_account,fees_deducted,net_amount,description,currency
STL0079,2026-07-22,5849244,REF21024994,Dash-Sidhu,0,5849244,UPI/ICIC5791662169/Settlement for REF21024994 (rounding),INR
STL0081,2026-07-27,6160352,REF94013990,"Luthra, Baria and Gill",0,6160352,UPI/AXIS9249648005/Settlement for REF94013990 (rounding),INR
STL0075,2026-07-14,7946868,REF99386747,"Sanghvi, Mody and Bhasin",0,7946868,UPI/HDFC7271954644/Settlement ref REF99386747,INR
STL0073,2026-07-09,6967152,REF75204711,Swamy-Borah,0,6967152,UPI/AXIS9265609985/Delayed settlement for REF75204711,INR
STL0066,2026-07-23,8246204,REF52735454,"Majumdar, Anne and Varughese",194610,8051594,UPI/ICIC4633987776/Settlement for REF52735454 after platform fee,INR
STL0063,2026-07-23,2977818,BULK310033,"Zacharia, Ben and Palla",0,2977818,Bulk settlement covering 3 invoices,INR
STL0050,2026-07-26,1647155,REF28708317,Shetty Ltd,0,1647155,UPI partial settlement for REF28708317,INR
STL0036,2026-07-16,7885373,REF31586923,Goel Group,0,7885373,UPI/AXIS1422701550/Settlement for REF31586923,INR
STL0082,2026-07-22,2140865,REF78742967,Singhal LLC,0,2140865,UPI/ICIC7473041886/Settlement for REF78742967,INR
STL0034,2026-07-08,7980103,REF27868011,"Dixit, Banik and Pingle",0,7980103,UPI/HDFC8664882079/Settlement for REF27868011,INR
STL0070,2026-07-19,6244416,REF35182337,Vohra-Mandal,147368,6097048,UPI/KKBK3373077218/Settlement for REF35182337 after platform fee,INR
STL0061,2026-07-08,4663129,BULK665876,Kala Inc,0,4663129,Bulk settlement covering 3 invoices,INR
STL0021,2026-07-15,4268028,REF66701065,Kothari and Sons,0,4268028,UPI/KKBK9639245200/Settlement for REF66701065,INR
STL0058,2026-07-18,808220,REF34558122,Rajagopal Ltd,0,808220,UPI partial settlement for REF34558122,INR
STL0071,2026-07-17,751771,REF13435240,"Walla, Date and Mahal",0,751771,UPI/ICIC2536778950/Delayed settlement for REF13435240,INR
STL0092,2026-07-08,8021465,MISC982146,Tripathi-Loke,0,8021465,Unidentified inward transfer,INR
STL0065,2026-07-25,2068759,BULK849877,"Dua, Saran and Goda",0,2068759,Bulk settlement covering 2 invoices,INR
STL0057,2026-07-12,359350,REF74348734,Brahmbhatt-Mangal,0,359350,UPI partial settlement for REF74348734,INR
STL0041,2026-07-18,3636084,REF16934060,"Yohannan, Hegde and Patla",0,3636084,UPI/SBIN4875962612/Settlement for REF16934060,INR
STL0083,2026-07-22,2140865,REF78742967,Singhal LLC,0,2140865,UPI/SBIN6695912196/Settlement for REF78742967 (duplicate credit),INR
STL0068,2026-07-26,4444880,REF14363495,Wali-Padmanabhan,104900,4339980,UPI/HDFC8478529823/Settlement for REF14363495 after platform fee,INR
STL0085,2026-07-25,2185534,REF65512567,Rattan-Bansal,0,2185534,UPI/HDFC6587537178/Settlement for REF65512567 (duplicate credit),INR
STL0018,2026-07-26,6750828,REF50983930,Bhargava and Sons,0,6750828,UPI/ICIC5284391408/Settlement for REF50983930,INR
STL0059,2026-07-18,538814,REF34558122,Rajagopal Ltd,0,538814,UPI partial settlement for REF34558122,INR
STL0016,2026-07-21,3617281,REF82278248,"Sampath, Kakar and Zacharia",0,3617281,UPI/SBIN2970753705/Settlement for REF82278248,INR
STL0095,2026-07-13,-6416205,REF46270482,"Cherian, Misra and Tripathi",0,-6416205,Chargeback reversal of REF46270482,INR
STL0072,2026-07-13,1774590,REF00842710,"Mane, Singh and Srinivas",0,1774590,UPI/ICIC4993808565/Delayed settlement for REF00842710,INR
STL0007,2026-07-06,5820619,REF53419283,Shere Group,0,5820619,UPI/KKBK9776552803/Settlement for REF53419283,INR
STL0060,2026-07-19,1077628,REF34558122,Rajagopal Ltd,0,1077628,UPI partial settlement for REF34558122,INR
STL0067,2026-07-05,4691923,REF31367837,"Swaminathan, Sem and Badal",110729,4581194,UPI/AXIS5310195918/Settlement for REF31367837 after platform fee,INR
STL0023,2026-07-15,7662220,REF81080132,Sunder-Srivastava,0,7662220,UPI/AXIS4919706735/Settlement for REF81080132,INR
STL0029,2026-07-08,5279731,REF47510799,Borah PLC,0,5279731,UPI/SBIN8086172302/Settlement for REF47510799,INR
STL0055,2026-07-12,269511,REF74348734,Brahmbhatt-Mangal,0,269511,UPI partial settlement for REF74348734,INR
STL0014,2026-07-24,988483,REF93252880,"Naik, Suresh and Bahl",0,988483,UPI/HDFC4529615275/Settlement for REF93252880,INR
STL0001,2026-07-22,469610,REF10433218,Sami Inc,0,469610,UPI/ICIC2051802512/Settlement for REF10433218,INR
STL0089,2026-07-27,33018154,REF24771093,"Dutt, Mukhopadhyay and Atwal",0,33018154,UPI/AXIS7954672204/Settlement for REF24771093 (FX converted),INR
STL0084,2026-07-25,2185534,REF65512567,Rattan-Bansal,0,2185534,UPI/HDFC9333798503/Settlement for REF65512567,INR
STL0019,2026-07-19,1575206,REF10518347,Zacharia and Sons,0,1575206,UPI/AXIS4698408854/Settlement for REF10518347,INR
STL0032,2026-07-04,3891005,REF18244935,Lalla PLC,0,3891005,UPI/AXIS4888749350/Settlement for REF18244935,INR
