settlement_id,date,amount,utr_reference,payer_account,fees_deducted,net_amount,tax_deducted,description,currency
STL0034,2026-07-07,62100000,REF0034,ACC_DELTA,1242000,60858000,0,Settlement from Delta Systems,INR
STL0035,2026-07-22,108900000,REF0035,ACC_APEX,2178000,106722000,0,Settlement from Apex Logistics,INR
STL0036,2026-07-18,34500000,REF0036,ACC_SWIFT,690000,33810000,0,Settlement from Swift Retail,INR
STL0037,2026-07-10,77800000,REF0037,ACC_OMNI,1556000,76244000,0,Settlement from Omni Global,INR
STL0038,2026-07-11,91200000,REF0038,ACC_GLOBAL,1824000,89376000,0,Settlement from Global Tech,INR
STL0039,2026-07-12,132000000,REF0039,ACC_ACME,2640000,129360000,0,Settlement from Acme Corp,INR
STL0040,2026-07-13,56000000,REF0040,ACC_DELTA,1120000,54880000,0,Settlement from Delta Systems,INR
STL0041,2026-07-28,32800000,REF0041,ACC_APEX,656000,32144000,0,Settlement from Apex Logistics,INR
STL0042,2026-07-24,66300000,REF0042,ACC_SWIFT,1326000,64974000,0,Settlement from Swift Retail,INR
STL0043,2026-07-16,38500000,REF0043,ACC_OMNI,770000,37730000,0,Settlement from Omni Global,INR
STL0044,2026-07-17,121600000,REF0044,ACC_GLOBAL,2432000,119168000,0,Settlement from Global Tech,INR
STL0045,2026-07-03,96400000,REF0045,ACC_ACME,1928000,94472000,0,Settlement from Acme Corp,INR
STL0046,2026-07-04,29100000,REF0046,ACC_DELTA,582000,28518000,0,Settlement from Delta Systems,INR
STL0047,2026-07-19,113400000,REF0047,ACC_APEX,2268000,111132000,0,Settlement from Apex Logistics,INR
STL0048,2026-07-15,124900000,REF0048,ACC_SWIFT,2498000,122402000,0,Settlement from Swift Retail,INR
STL0049,2026-07-07,143000000,REF0049,ACC_OMNI,2860000,140140000,0,Settlement from Omni Global,INR
STL0050,2026-07-08,75200000,REF0050,ACC_GLOBAL,1504000,73696000,0,Settlement from Global Tech,INR
STL0051,2026-07-28,85000000,REF0051_FUZZY,ACC_APEX,1700000,83300000,0,Settlement from Apex Logistics UTR REF0051_FUZZY,INR
STL0052,2026-07-28,92000000,REF0052_FUZZY,ACC_SWIFT,1840000,90160000,0,Settlement from Swift Retail UTR REF0052_FUZZY,INR
STL0053,2026-07-28,44000000,REF0053_FUZZY,ACC_ACME,880000,43120000,0,Settlement from Acme Corp UTR REF0053_FUZZY,INR
STL0054,2026-07-28,61000000,REF0054_FUZZY,ACC_GLOBAL,1220000,59780000,0,Settlement from Global Tech UTR REF0054_FUZZY,INR
STL0055,2026-07-29,75000000,REF0055_ORPHAN,ACC_APEX,1500000,73500000,0,Unmapped settlement Apex,INR
STL0056,2026-07-29,50000000,REF0056,ACC_APEX,1750000,48250000,0,Settlement Apex Fee Overcharge,INR
STL0057,2026-07-29,120000000,REF0057,ACC_SWIFT,2400000,115200000,2400000,Settlement Swift TDS 194O,INR
STL0058,2026-07-29,95000000,REF0058,ACC_ACME,2350000,92650000,0,Settlement Acme Tax Variance,INR
STL0059,2026-07-30,68000000,REF0059,ACC_APEX,1360000,66640000,0,Settlement Apex Logistics Delayed,INR
STL0060,2026-07-30,68000000,REF0060,ACC_SWIFT,1360000,66640000,0,Settlement Swift Retail Delayed,INR
